1;type;receiver_timestamp;sender_timestamp
674;D;136016397;136015309
675;D;136015949;136015469
676;D;136016013;136015629
677;D;136016333;136015789
678;D;136016653;136015949
679;D;136016973;136016109
680;D;136017293;136016269
681;D;136017613;136016429
682;D;136017933;136016589
683;D;136018253;136016749
684;D;136017549;136016909
685;D;136017869;136017069
686;D;136018189;136017229
687;D;136018509;136017389
688;D;136018829;136017549
689;D;136019149;136017709
690;D;136018445;136017869
691;D;136018765;136018029
692;D;136019085;136018189
693;D;136019405;136018349
694;D;136019309;136018509
695;D;136019021;136018669
696;D;136019341;136018829
697;D;136019661;136018989
698;D;136019981;136019149
699;D;136020301;136019309
700;D;136020621;136019469
701;D;136020941;136019629
702;D;136021261;136019789
703;D;136020557;136019949
704;D;136020877;136020109
705;D;136021197;136020269
706;D;136021517;136020429
707;D;136021837;136020589
708;D;136022157;136020749
709;D;136021709;136020909
710;D;136021869;136021069
711;!;;
712;D;136023885;136023149
713;D;136024205;136023309
714;D;136024525;136023469
715;D;136024845;136023629
716;D;136025165;136023789
717;D;136025485;136023949
718;D;136025389;136024109
719;D;136025549;136024269
720;D;136025421;136024429
721;D;136025741;136024589
722;D;136026061;136024749
723;D;136026189;136024909
724;D;136026029;136025069
725;D;136026189;136025229
726;D;136026317;136025389
727;D;136026637;136025549
728;D;136026957;136025709
729;D;136026253;136025869
730;D;136026573;136026029
731;D;136026893;136026189
732;D;136027213;136026349
733;D;136027533;136026509
734;D;136027853;136026669
735;D;136028173;136026829
736;D;136028429;136026989
737;D;136028269;136027149
738;D;136028109;136027309
739;D;136028429;136027469
740;D;136028749;136027629
741;D;136029069;136027789
742;D;136029389;136027949
743;D;136028685;136028109
744;D;136029005;136028269
745;D;136029325;136028429
746;D;136029645;136028589
747;D;136029965;136028749
748;D;136030285;136028909
749;D;136030605;136029069
750;D;136029901;136029229
751;D;136030221;136029389
752;D;136030541;136029549
753;D;136030861;136029709
754;D;136031181;136029869
755;D;136031501;136030029
756;D;136031821;136030189
757;D;136031117;136030349
758;D;136031437;136030509
759;D;136031757;136030669
760;D;136032077;136030829
761;D;136032397;136030989
762;!;;
763;D;136031693;136031149
764;D;136032013;136031309
765;D;136032333;136031469
766;D;136032653;136031629
767;D;136032973;136031789
768;D;136033293;136031949
769;D;136032589;136032109
770;D;136032909;136032269
771;D;136033229;136032429
772;D;136033549;136032589
773;D;136033869;136032749
774;D;136034189;136032909
775;D;136034509;136033069
776;D;136034829;136033229
777;D;136034125;136033389
778;D;136034445;136033549
779;D;136034765;136033709
780;D;136035085;136033869
781;D;136035405;136034029
782;D;136035725;136034189
783;D;136035021;136034349
784;D;136035341;136034509
785;D;136035661;136034669
786;D;136035981;136034829
787;D;136036301;136034989
788;D;136036621;136035149
789;D;136036941;136035309
790;D;136036589;136035469
791;D;136036557;136035629
792;D;136036877;136035789
793;D;136037197;136035949
794;D;136037517;136036109
795;D;136036813;136036269
796;D;136037133;136036429
797;D;136037453;136036589
798;D;136037773;136036749
799;D;136038093;136036909
800;D;136038413;136037069
801;D;136038733;136037229
802;D;136039053;136037389
803;D;136038349;136037549
804;D;136038669;136037709
805;D;136037965;136037869
806;D;136038285;136038029
807;D;136038605;136038189
808;D;136038925;136038349
809;D;136039245;136038509
810;D;136039565;136038669
811;D;136039885;136038829
812;D;136040205;136038989
813;D;136040429;136039149
814;!;;
815;D;136043469;136042669
816;D;136043789;136042829
817;D;136044109;136042989
818;D;136044429;136043149
819;D;136044749;136043309
820;D;136045069;136043469
821;D;136044365;136043629
822;D;136044685;136043789
823;D;136045005;136043949
824;D;136045325;136044109
825;D;136045645;136044269
826;D;136045709;136044429
827;D;136045869;136044589
828;D;136045581;136044749
829;D;136045901;136044909
830;D;136046221;136045069
831;D;136046541;136045229
832;D;136046861;136045389
833;D;136046157;136045549
834;D;136046477;136045709
835;D;136046797;136045869
836;D;136047117;136046029
837;D;136046669;136046189
838;D;136046733;136046349
839;D;136047053;136046509
840;D;136047373;136046669
841;D;136047693;136046829
842;D;136048013;136046989
843;D;136048333;136047149
844;D;136048653;136047309
845;D;136047949;136047469
846;D;136048269;136047629
847;D;136048909;136047949
848;D;136049229;136048109
849;D;136049549;136048269
850;D;136048845;136048429
851;D;136049389;136048589
852;D;136049549;136048749
853;D;136049709;136048909
854;D;136049101;136049069
855;D;136049421;136049229
856;D;136049741;136049389
857;D;136050061;136049549
858;D;136050381;136049709
859;D;136050669;136049869
860;D;136050829;136050029
861;D;136050317;136050189
862;!;;
863;D;136050957;136050509
864;D;136051277;136050669
865;D;136051597;136050829
866;D;136051789;136050989
867;D;136051213;136051149
868;D;136051533;136051309
869;D;136051853;136051469
870;D;136052173;136051629
871;D;136052493;136051789
872;D;136052813;136051949
873;D;136053133;136052109
874;D;136052429;136052269
875;D;136052749;136052429
876;D;136053069;136052589
877;D;136053389;136052749
878;D;136053709;136052909
879;D;136054029;136053069
880;D;136053325;136053229
881;D;136053645;136053389
882;D;136053965;136053549
883;D;136054285;136053709
884;D;136054605;136053869
885;D;136054829;136054029
886;D;136054221;136054189
887;D;136054541;136054349
888;D;136054861;136054509
889;D;136055469;136054669
890;D;136055629;136054829
891;D;136055789;136054989
892;D;136055949;136055149
893;D;136055437;136055309
894;D;136055757;136055469
895;D;136056077;136055629
896;D;136056397;136055789
897;D;136056717;136055949
898;D;136056909;136056109
899;D;136056333;136056269
900;D;136056653;136056429
901;D;136056973;136056589
902;D;136057293;136056749
903;D;136057613;136056909
904;!;;
905;D;136058445;136058349
906;D;136058765;136058509
907;D;136059085;136058669
908;D;136059405;136058829
909;D;136059725;136058989
910;D;136060045;136059149
911;D;136060365;136059309
912;D;136060685;136059469
913;D;136061005;136059629
914;D;136061325;136059789
915;D;136060621;136059949
916;D;136060941;136060109
917;D;136061261;136060269
918;D;136061581;136060429
919;D;136061901;136060589
920;D;136062221;136060749
921;D;136061517;136060909
922;D;136061837;136061069
923;D;136062157;136061229
924;D;136062477;136061389
925;D;136062797;136061549
926;D;136062093;136061709
927;D;136062413;136061869
928;D;136062733;136062029
929;D;136064013;136062669
930;D;136064269;136063309
931;D;136064589;136063469
932;D;136064909;136063629
933;D;136065229;136063789
934;D;136065549;136063949
935;D;136065165;136064269
936;D;136065485;136064429
937;D;136065805;136064589
938;D;136066125;136064749
939;D;136066445;136064909
940;D;136065741;136065069
941;D;136065709;136065389
942;D;136065869;136065549
943;D;136065997;136065709
944;D;136066317;136065869
945;D;136066637;136066029
946;D;136066957;136066189
947;D;136067149;136066349
948;D;136067309;136066509
949;D;136067469;136066669
950;D;136067629;136066829
951;D;136067789;136066989
952;D;136068109;136067309
953;D;136068269;136067469
954;D;136067789;136067629
955;D;136068109;136067789
956;D;136068429;136067949
957;D;136068749;136068109
958;D;136069069;136068269
959;D;136069229;136068429
960;D;136068685;136068589
961;D;136069005;136068749
962;D;136069325;136068909
963;D;136069869;136069069
964;D;136070029;136069229
965;D;136070189;136069389
966;D;136069581;136069549
967;D;136069901;136069709
968;D;136070221;136069869
969;D;136071757;136071149
970;D;136072077;136071309
971;D;136072269;136071469
972;D;136071693;136071629
973;D;136072013;136071789
974;D;136231629;136231469
975;D;136233549;136232429
976;D;136233869;136232589
977;D;136234189;136232749
978;D;136231949;136231629
979;D;136234509;136232909
980;D;136233869;136233069
981;D;136234125;136233229
982;D;136234445;136233389
983;D;136234765;136233549
984;D;136235085;136233709
985;D;136235405;136233869
986;D;136235725;136234029
987;D;136235021;136234189
988;D;136235341;136234349
989;D;136235661;136234509
990;D;136235149;136234669
991;D;136235309;136234829
992;D;136235597;136234989
993;D;136235917;136235149
994;D;136236237;136235309
995;D;136235533;136235469
996;D;136235853;136235629
997;D;136236173;136235789
998;D;136236493;136235949
999;D;136236813;136236109
1000;!;;
1001;D;136241933;136241229
1002;D;136242253;136241389
1003;D;136242573;136241549
1004;D;136242893;136241709
1005;D;136242829;136241869
1006;D;136242509;136242029
1007;D;136242829;136242189
1008;D;136243149;136242349
1009;D;136243469;136242509
1010;D;136243789;136242669
1011;D;136243085;136242829
1012;D;136243405;136242989
1013;D;136244045;136243309
1014;D;136244365;136243469
1015;D;136244685;136243629
1016;D;136245005;136243789
1017;D;136244301;136243949
1018;D;136244621;136244109
1019;D;136244941;136244269
1020;D;136245261;136244429
1021;D;136245581;136244589
1022;D;136245901;136244749
1023;D;136246221;136244909
1024;D;136245517;136245069
1025;D;136245837;136245229
1026;D;136246157;136245389
1027;D;136246477;136245549
1028;D;136246797;136245709
1029;D;136247117;136245869
1030;D;136247437;136246029
1031;D;136247757;136246189
1032;D;136247053;136246349
1033;D;136247373;136246509
1034;D;136247469;136246669
1035;D;136246989;136246829
1036;D;136247309;136246989
1037;D;136247629;136247149
1038;D;136247949;136247309
1039;D;136248269;136247469
1040;D;136248589;136247629
1041;D;136248909;136247789
1042;D;136249229;136247949
1043;D;136248525;136248109
1044;D;136248845;136248269
1045;D;136249165;136248429
1046;!;;
1047;D;136249741;136249229
1048;D;136250061;136249389
1049;D;136250381;136249549
1050;D;136250701;136249709
1051;D;136251021;136249869
1052;D;136251341;136250029
1053;D;136250637;136250189
1054;D;136250957;136250349
1055;D;136251277;136250509
1056;D;136251597;136250669
1057;D;136251917;136250829
1058;D;136252237;136250989
1059;D;136252557;136251149
1060;D;136252877;136251309
1061;D;136253197;136251469
1062;D;136252493;136251629
1063;D;136252813;136251789
1064;D;136253133;136251949
1065;D;136253229;136252109
1066;D;136252749;136252269
1067;D;136253069;136252429
1068;D;136253389;136252589
1069;D;136253709;136252749
1070;D;136254029;136252909
1071;D;136254349;136253069
1072;D;136254669;136253229
1073;D;136254989;136253389
1074;D;136254509;136253549
1075;D;136254605;136253709
1076;D;136254925;136253869
1077;D;136255245;136254029
1078;D;136255565;136254189
1079;D;136255885;136254349
1080;D;136255181;136254509
1081;D;136255501;136254669
1082;D;136255821;136254829
1083;D;136256141;136254989
1084;D;136256461;136255149
1085;D;136256781;136255309
1086;D;136257069;136255469
1087;D;136256397;136255629
1088;D;136256717;136255789
1089;D;136257037;136255949
1090;D;136257357;136256109
1091;D;136257677;136256269
1092;D;136257997;136256429
1093;D;136257293;136256589
1094;D;136257613;136256749
1095;D;136257933;136256909
1096;D;136258253;136257069
1097;!;;
1098;D;136257869;136257389
1099;D;136258189;136257549
1100;D;136258509;136257709
1101;D;136258829;136257869
1102;D;136259149;136258029
1103;D;136259469;136258189
1104;D;136259789;136258349
1105;D;136260109;136258509
1106;D;136259405;136258669
1107;D;136259725;136258829
1108;D;136260045;136258989
1109;D;136260365;136259149
1110;D;136259661;136259309
1111;D;136259981;136259469
1112;D;136260301;136259629
1113;D;136260621;136259789
1114;D;136260941;136259949
1115;D;136261261;136260109
1116;D;136261581;136260269
1117;D;136261901;136260429
1118;D;136262221;136260589
1119;D;136261517;136260749
1120;D;136261837;136260909
1121;D;136262157;136261069
1122;D;136262477;136261229
1123;D;136262797;136261389
1124;D;136263117;136261549
1125;D;136262413;136261709
1126;D;136262733;136261869
1127;D;136263053;136262029
1128;D;136263373;136262189
1129;D;136263693;136262349
1130;D;136262989;136262509
1131;D;136263309;136262669
1132;D;136263629;136262829
1133;D;136263949;136262989
1134;D;136264269;136263149
1135;D;136264589;136263309
1136;D;136264909;136263469
1137;D;136265229;136263629
1138;D;136264525;136263789
1139;D;136264845;136263949
1140;D;136265165;136264109
1141;D;136265485;136264269
1142;D;136265805;136264429
1143;D;136265101;136264589
1144;D;136265421;136264749
1145;D;136265741;136264909
1146;D;136266061;136265069
1147;D;136266381;136265229
1148;D;136266701;136265389
1149;D;136267021;136265549
1150;D;136266317;136265709
1151;D;136266637;136265869
1152;D;136266957;136266029
1153;D;136267277;136266189
1154;D;136267597;136266349
1155;D;136267917;136266509
1156;D;136268237;136266669
1157;D;136267533;136266829
1158;D;136267853;136266989
1159;D;136268173;136267149
1160;D;136268493;136267309
1161;D;136268813;136267469
1162;D;136268909;136267629
1163;D;136268429;136267789
1164;D;136268749;136267949
1165;D;136269069;136268109
1166;D;136269389;136268269
1167;D;136269709;136268429
1168;D;136270029;136268589
1169;D;136270349;136268749
1170;D;136269645;136268909
1171;D;136269965;136269069
1172;D;136270285;136269229
1173;D;136270605;136269389
1174;D;136270925;136269549
1175;D;136271245;136269709
1176;D;136270541;136269869
1177;!;;
1178;D;136270861;136270029
1179;D;136271181;136270189
1180;D;136271501;136270349
1181;D;136271821;136270509
1182;D;136271117;136270669
1183;D;136271437;136270829
1184;D;136271757;136270989
1185;D;136272077;136271149
1186;D;136272397;136271309
1187;D;136272717;136271469
1188;D;136273037;136271629
1189;D;136273357;136271789
1190;D;136272653;136271949
1191;D;136272973;136272109
1192;D;136273293;136272269
1193;D;136273613;136272429
1194;D;136273933;136272589
1195;D;136274253;136272749
1196;D;136274573;136272909
1197;D;136274509;136273069
1198;D;136274189;136273229
1199;D;136274509;136273389
1200;D;136274829;136273549
1201;D;136275149;136273709
1202;D;136275469;136273869
1203;D;136274989;136274029
1204;D;136275085;136274189
1205;D;136275405;136274349
1206;D;136275725;136274509
1207;D;136276045;136274669
1208;D;136276365;136274829
1209;D;136276685;136274989
1210;D;136276269;136275149
1211;D;136276301;136275309
1212;D;136276621;136275469
1213;D;136276941;136275629
1214;D;136277261;136275789
1215;D;136277581;136275949
1216;D;136276877;136276109
1217;D;136277197;136276269
1218;D;136277517;136276429
1219;D;136277837;136276589
1220;D;136278157;136276749
1221;D;136278477;136276909
1222;D;136278349;136277069
1223;D;136278093;136277229
1224;D;136278413;136277389
1225;D;136278733;136277549
1226;D;136279053;136277709
1227;D;136279373;136277869
1228;D;136278669;136278029
1229;D;136278989;136278189
1230;D;136279309;136278349
1231;D;136279629;136278509
1232;D;136279949;136278669
1233;D;136280269;136278829
1234;D;136279949;136278989
1235;D;136280109;136279149
1236;D;136280205;136279309
1237;D;136280525;136279469
1238;D;136280845;136279629
1239;D;136281165;136279789
1240;D;136281485;136279949
1241;D;136281709;136280109
1242;D;136281101;136280269
1243;D;136281421;136280429
1244;D;136281741;136280589
1245;D;136282061;136280749
1246;D;136282381;136280909
1247;D;136282701;136281069
1248;D;136282189;136281229
1249;D;136282317;136281389
1250;D;136282637;136281549
1251;D;136282957;136281709
1252;D;136283277;136281869
1253;D;136283597;136282029
1254;D;136282893;136282189
1255;D;136283213;136282349
1256;D;136283533;136282509
1257;D;136283853;136282669
1258;D;136284173;136282829
1259;D;136284493;136282989
1260;D;136284109;136283309
1261;D;136284429;136283469
1262;D;136284749;136283629
1263;D;136285069;136283789
1264;D;136285389;136283949
1265;D;136285709;136284109
1266;D;136286029;136284269
1267;D;136285325;136284429
1268;D;136285645;136284589
1269;D;136285965;136284749
1270;D;136286285;136284909
1271;D;136286605;136285069
1272;D;136285901;136285229
1273;D;136286221;136285389
1274;D;136286541;136285549
1275;D;136286861;136285709
1276;D;136287181;136285869
1277;D;136287501;136286029
1278;D;136287821;136286189
1279;D;136288141;136286349
1280;D;136287437;136286509
1281;D;136287757;136286669
1282;D;136288077;136286829
1283;D;136288397;136286989
1284;D;136288717;136287149
1285;D;136289037;136287309
1286;D;136288589;136287469
1287;D;136288653;136287629
1288;D;136288973;136287789
1289;D;136289293;136287949
1290;D;136289613;136288109
1291;D;136289933;136288269
1292;D;136290253;136288429
1293;D;136289549;136288589
1294;D;136289869;136288749
1295;D;136290189;136288909
1296;D;136290509;136289069
1297;D;136290029;136289229
1298;D;136290189;136289389
1299;!;;
1300;D;136293453;136292589
1301;D;136293773;136292749
1302;D;136294093;136292909
1303;D;136294413;136293069
1304;D;136294733;136293229
1305;D;136295053;136293389
1306;D;136294349;136293549
1307;D;136294669;136293709
1308;D;136294989;136293869
1309;D;136295309;136294029
1310;D;136295629;136294189
1311;D;136295629;136294349
1312;D;136295789;136294509
1313;D;136295629;136294669
1314;D;136295885;136294829
1315;D;136296205;136294989
1316;D;136296525;136295149
1317;D;136296845;136295309
1318;D;136296909;136295469
1319;D;136296461;136295629
1320;D;136296781;136295789
1321;D;136297101;136295949
1322;D;136297421;136296109
1323;D;136297741;136296269
1324;D;136298061;136296429
1325;D;136298349;136296589
1326;D;136297677;136296749
1327;D;136297997;136296909
1328;D;136298317;136297069
1329;D;136298637;136297229
1330;D;136298957;136297389
1331;D;136298253;136297549
1332;D;136298573;136297709
1333;D;136298893;136297869
1334;D;136299213;136298029
1335;D;136299533;136298189
1336;D;136299853;136298349
1337;D;136300173;136298509
1338;D;136299469;136298669
1339;D;136299789;136298829
1340;D;136300109;136298989
1341;D;136300429;136299149
1342;D;136300749;136299309
1343;D;136301069;136299469
1344;D;136300365;136299629
1345;D;136301005;136299949
1346;D;136301325;136300109
1347;D;136301645;136300269
1348;D;136301965;136300429
1349;D;136301549;136300589
1350;D;136301709;136300749
1351;D;136301901;136300909
1352;D;136302221;136301069
1353;D;136302541;136301229
1354;D;136302861;136301389
1355;D;136302157;136301549
1356;D;136302477;136301709
1357;D;136302797;136301869
1358;D;136303117;136302029
1359;D;136303437;136302189
1360;D;136303757;136302349
1361;D;136304077;136302509
1362;D;136303373;136302669
1363;D;136303693;136302829
1364;D;136304013;136302989
1365;D;136304333;136303149
1366;D;136304653;136303309
1367;D;136304973;136303469
1368;D;136305293;136303629
1369;D;136305613;136303789
1370;D;136304909;136303949
1371;D;136305229;136304109
1372;D;136305549;136304269
1373;D;136305869;136304429
1374;D;136305389;136304589
1375;D;136305485;136304749
1376;D;136305805;136304909
1377;D;136306125;136305069
1378;D;136306445;136305229
1379;D;136306765;136305389
1380;D;136307085;136305549
1381;D;136306989;136305709
1382;D;136307149;136305869
1383;D;136307021;136306029
1384;D;136307341;136306189
1385;D;136307661;136306349
1386;D;136307981;136306509
1387;D;136308301;136306669
